количество человек, поступивших на ИП: 10
Кодовый номер абитуриента: 5
Кодовый номер абитуриента: 4
Кодовый номер абитуриента: 7
Кодовый номер абитуриента: 9
Кодовый номер абитуриента: 3
Кодовый номер абитуриента: 2
Кодовый номер абитуриента: 82
Кодовый номер абитуриента: 44
Кодовый номер абитуриента: 613
Кодовый номер абитуриента: 67
количество человек, поступивших на ПОВТ: 9
Кодовый номер абитуриента: 8
Кодовый номер абитуриента: 23
Кодовый номер абитуриента: 2
Кодовый номер абитуриента: 75
Кодовый номер абитуриента: 9
Кодовый номер абитуриента: 1
Кодовый номер абитуриента: 613
Кодовый номер абитуриента: 87
Кодовый номер абитуриента: 55
